Item ID,Item Name,Category,Version,Item Code
46567054.0,QID,Product H,32 / B / 30,27-0CD-F44-7E1-0-2F608D7
16345004.0,OTH,Product P,32 / B / FtO,37-9D1-AC6-D48-E-F2D4507
26246865.0,WHX,Product P,32 / B / FtO,85-2EB-163-D62-5-FC50316
42015157.0,RJF,Product P,33 / B / FtO,3D-687-99C-14F-4-661E2E7
40522014.0,TSH,Product D,34 / B / FtO,F9-9FA-787-104-B-DCEE379
32047144.0,BKT,Product Q,37 / B / 28,92-F5E-879-C1C-4-447E57D
40522014.0,TSH,Product P,34 / B / FtO,30-612-F8B-3F0-D-1399050
26922227.0,LQS,Product C,36 / B / FtO,D7-036-7E7-B2D-F-9ABDCB2
70509397.0,WHX,Product A,34 / A / FtO,BB-624-2EC-849-6-55C3AE9
30466884.0,WHX,Product P,33 / A / FtO,30-A45-0F8-A47-3-597F220
24064862.0,LQS,Product B,33 / B / FtO,2D-BCB-5A1-DCF-B-1BC3355
82629421.0,KNB,Product P,35 / A / FtO,5B-AA9-538-913-2-C7F19F8
10812154.0,WHX,Product P,36 / C / FtO,ED-3C3-9DE-8F8-8-E2127BD
13282993.0,AYN,Product P,35 / A / FtO,05-B3F-641-5D0-C-08DA2E3
84222100000000.0,QID,Product H,40 / C / FtO,89-640-975-F8D-0-B53CFB5
40213065.0,CRH,Product P,34 / B / FtO,DC-C91-D80-DD3-0-BAC56F9
24064862.0,LQS,Product B,33 / C / FtO,13-942-409-8DF-6-68FB90B
88162726.0,RJF,Product P,35 / B / FtO,22-6A3-ACF-C57-6-3147EE4
95083972.0,RJF,Product P,36 / C / FtO,BC-0DF-CDF-7B9-6-79DB2AC
92567842.0,YQX,Product M,34 / A / FtO,17-F85-233-845-8-D1D20B2
50418124.0,WHX,Product D,34 / A / FtO,D4-C6F-884-7F1-5-8ED5D4B
29157946.0,WHX,Product D,32 / A / 29,5A-02C-11D-258-0-EDB1CFD
56806577.0,HZX,Product B,36 / B / 30,AA-FF7-5F1-C38-8-EE0E60C
88732635.0,AYN,Product P,34 / B / FtO,E6-FAF-D36-0E0-2-DC24994
73544700.0,EKJ,Product O,34 / A / 9,9A-348-C38-07A-2-7938B3F
68182077.0,CLH,Product B,35 / C / 33,78-1C1-1FA-A15-5-41B3EB6
92567842.0,KNB,Product M,36 / A / FtO,5B-108-510-A28-6-49791BD
62538818.0,YQX,Product H,35 / B / FtO,13-97C-FB5-79E-F-992A8BF
93145342.0,YQX,Product H,33 / B / FtO,88-B81-680-097-8-382CF03
22570228.0,WHX,Product P,30 / A / 29,81-8FA-5A9-11A-2-8C4A175
17042414.0,YQX,Product H,34 / A / 31,EC-DBD-652-248-2-3B0BBDD
24064862.0,HZX,Product B,33 / B / FtO,5B-8E1-024-EB2-6-3F3CBDB
88419828.0,FTU,Product R,S / Sl / Sh,C8-AEA-5C4-EDE-F-6AFB9F5
83605938.0,WHX,Product P,34 / A / FtO,76-BA0-289-04B-C-9EB5C4F
88419828.0,RJK,Product R,L / Sl / Re,B3-454-173-827-F-2D4BC05
98393407.0,RJF,Product P,34 / B / FtO,32-AA7-838-2C8-E-1195FE8
32740590.0,NMA,Product D,32 / B / FtO,D8-5B2-0C2-2FF-4-449AD74
74114662.0,LQS,Product C,30 / A / 31,2C-19D-5C6-EA0-3-43C448F
11657798.0,XEB,Product D,34 / B / FtO,54-BB6-CDA-0BD-0-6121467
36598969.0,KNB,Product P,34 / A / FtO,E3-A4D-96C-7FB-2-E487C07
40522014.0,NWB,Product D,36 / C / FtO,CD-F33-F6A-2E2-2-D115B4E
94152622.0,WHX,Product P,33 / B / 32,BF-2A5-D8F-5BC-D-987937F
63706147.0,NMA,Product H,34 / B / FtO,A2-893-62A-DAB-4-773775A
15609600000000.0,YQX,Product H,37 / B / FtO,78-051-9A8-28F-5-DEB9BDB
51943014.0,KNB,Product H,35 / A / FtO,AD-D36-4D7-EDB-2-1BA776D
89495938.0,EXR,Product J,32 / A / FtO,4A-FF1-87C-28D-3-2E5048E
42076473.0,WHX,Product P,31 / B / FtO,DD-85C-817-6E1-7-63A3E31
57946473.0,TSH,Product N,XL / Sl / Re,02-F1A-B75-3B2-8-7DE33BD
30076956.0,MAG,Product B,34 / B / 33,7B-F13-813-556-D-CAA3745
25033442.0,RJF,Product P,31 / A / FtO,C8-F7E-F9D-4D8-F-5315930
19149775.0,RJF,Product P,33 / A / FtO,E8-94E-375-825-4-9A886F3
10383852.0,INU,Product O,36 / B / 11,26-5CC-533-11F-2-5AB3354
22559066.0,NSP,Product P,34 / A / FtO,EE-3D4-3A2-417-4-22962E1
88269721.0,KNB,Product P,36 / C / FtO,86-4C4-578-335-7-C8C1CDB
95527147.0,WHX,Product P,36 / A / FtO,B1-E8F-D9B-1CB-F-B4E9E3B
68351923.0,WHX,Product P,35 / A / 34,57-4D4-82A-CFA-1-915AD57
88419828.0,FTU,Product R,M+ / Sl / Re,C6-C3F-DC9-F3E-4-65345AD
72085551.0,QMB,Product J,30 / A / FtO,9E-218-296-902-0-BDE114A
21880080.0,AYN,Product P,36 / A / FtO,AC-DBF-D0E-3A9-4-A45CA1F
48808614.0,KNB,Product H,34 / A / FtO,0F-FB2-FA6-771-8-024979D
63706147.0,NMA,Product H,32 / B / FtO,CF-361-33D-F16-D-CE57CD6
33132884.0,RJF,Product P,37 / B / FtO,5B-AD8-C54-EEA-4-A68B15D
60959788.0,QID,Product H,36 / B / FtO,B8-CA5-835-D9D-0-87528A2
88419828.0,YQX,Product R,L+ / St / Re,2F-FB0-9B8-847-3-299DC45
79976637.0,WHX,Product D,34 / B / FtO,78-AC0-420-2A7-C-2F18981
83947292.0,XEB,Product P,34 / A / 33,08-CE7-572-AD0-E-822E014
24064862.0,CLH,Product B,34 / A / FtO,43-DF6-655-273-3-FD48FCB
31692704.0,OHR,Product H,37 / B / 32,75-A3E-276-E4A-E-AD2ECEE
